ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,65.72636467034755,57.52185899571376,66.2578007123707,65.72636467034755,65.72636467034755,-4.031336323310207,-4.031336323310207,-4.031336323310207,-4.031336323310207,-4.031336323310207,-4.031336323310207,0.0,0.0,0.0,61.69502834703734
2025-02-01,65.57981114038539,57.25271724073478,65.30834447101857,65.57981114038539,65.57981114038539,-4.314935980763567,-4.314935980763567,-4.314935980763567,-4.314935980763567,-4.314935980763567,-4.314935980763567,0.0,0.0,0.0,61.26487515962182
2025-03-01,65.447440210097,59.870806395089105,69.02457727458717,65.447440210097,65.447440210097,-1.007007102709954,-1.007007102709954,-1.007007102709954,-1.007007102709954,-1.007007102709954,-1.007007102709954,0.0,0.0,0.0,64.44043310738705
2025-04-01,65.30088668013484,61.73399274053231,70.54563671380059,65.30080810179187,65.30096990236706,0.7677876400964344,0.7677876400964344,0.7677876400964344,0.7677876400964344,0.7677876400964344,0.7677876400964344,0.0,0.0,0.0,66.06867432023127
2025-05-01,65.15906068339727,61.19537788070743,70.12308329018197,65.15881952222337,65.15934569794817,0.5926584516051753,0.5926584516051753,0.5926584516051753,0.5926584516051753,0.5926584516051753,0.5926584516051753,0.0,0.0,0.0,65.75171913500245
2025-06-01,65.01250715343512,62.69122399309217,71.31268662671165,65.0120087292255,65.01303314375144,2.0949729430065527,2.0949729430065527,2.0949729430065527,2.0949729430065527,2.0949729430065527,2.0949729430065527,0.0,0.0,0.0,67.10748009644168
2025-07-01,64.87068115669756,63.03061627807685,71.83896691855037,64.86985388292723,64.87154015065691,2.674167207795937,2.674167207795937,2.674167207795937,2.674167207795937,2.674167207795937,2.674167207795937,0.0,0.0,0.0,67.54484836449349
2025-08-01,64.7241276267354,59.90568582080015,68.92358911169968,64.72293232234684,64.72533265344738,-0.4810133743956469,-0.4810133743956469,-0.4810133743956469,-0.4810133743956469,-0.4810133743956469,-0.4810133743956469,0.0,0.0,0.0,64.24311425233975
2025-09-01,64.57757409677325,59.05786585799211,68.13034317625335,64.57601440403195,64.57911763456642,-1.2304728981999593,-1.2304728981999593,-1.2304728981999593,-1.2304728981999593,-1.2304728981999593,-1.2304728981999593,0.0,0.0,0.0,63.34710119857329
2025-10-01,64.43574810003568,57.58385190533014,66.67498184823746,64.43375742470907,64.43771268850456,-2.3503018476915463,-2.3503018476915463,-2.3503018476915463,-2.3503018476915463,-2.3503018476915463,-2.3503018476915463,0.0,0.0,0.0,62.085446252344134
2025-11-01,64.28919457007352,57.87473122068813,66.41459784264481,64.28669090622827,64.2915863499297,-2.152915988934297,-2.152915988934297,-2.152915988934297,-2.152915988934297,-2.152915988934297,-2.152915988934297,0.0,0.0,0.0,62.13627858113922
2025-12-01,64.14736857333595,56.710376391650314,65.441582447176,64.14435932503567,64.15027166500008,-3.118843214452408,-3.118843214452408,-3.118843214452408,-3.118843214452408,-3.118843214452408,-3.118843214452408,0.0,0.0,0.0,61.02852535888354
2026-01-01,64.0008150433738,55.460246613727634,64.21148191656233,63.99731171301333,64.00429413729063,-4.122458075399945,-4.122458075399945,-4.122458075399945,-4.122458075399945,-4.122458075399945,-4.122458075399945,0.0,0.0,0.0,59.87835696797386
2026-02-01,63.85426151341166,56.29307724537783,65.63976459920958,63.85023010721275,63.858242028500094,-3.09148057899385,-3.09148057899385,-3.09148057899385,-3.09148057899385,-3.09148057899385,-3.09148057899385,0.0,0.0,0.0,60.762780934417805
2026-03-01,63.721890583123255,58.54141766795668,67.25470847517671,63.717236168427114,63.72633624034516,-1.0247279240187066,-1.0247279240187066,-1.0247279240187066,-1.0247279240187066,-1.0247279240187066,-1.0247279240187066,0.0,0.0,0.0,62.69716265910455
2026-04-01,63.5753370531611,59.80739321584292,68.36679286749504,63.5700368506722,63.580498439466524,0.6157351355256233,0.6157351355256233,0.6157351355256233,0.6157351355256233,0.6157351355256233,0.6157351355256233,0.0,0.0,0.0,64.19107218868672
2026-05-01,63.433511056423534,59.65374491791028,68.44893778585937,63.42762217599765,63.439277520167295,0.35840716327336475,0.35840716327336475,0.35840716327336475,0.35840716327336475,0.35840716327336475,0.35840716327336475,0.0,0.0,0.0,63.791918219696896
2026-06-01,63.28695752646138,61.18965809775493,70.00048594152759,63.280324513989356,63.29333862812286,2.251728954812828,2.251728954812828,2.251728954812828,2.251728954812828,2.251728954812828,2.251728954812828,0.0,0.0,0.0,65.53868648127421
2026-07-01,63.14513152972381,59.65035752465443,68.63421777820072,63.137770893527026,63.151962930330804,1.1421218705623621,1.1421218705623621,1.1421218705623621,1.1421218705623621,1.1421218705623621,1.1421218705623621,0.0,0.0,0.0,64.28725340028618
2026-08-01,62.99857799976166,58.4100757777605,67.60776283736625,62.99051477301293,63.006145384869924,0.24284540948206976,0.24284540948206976,0.24284540948206976,0.24284540948206976,0.24284540948206976,0.24284540948206976,0.0,0.0,0.0,63.24142340924373
2026-09-01,62.8520244697995,58.78958594158584,67.3637574895496,62.84321864411442,62.86033536457119,0.3045580223447151,0.3045580223447151,0.3045580223447151,0.3045580223447151,0.3045580223447151,0.3045580223447151,0.0,0.0,0.0,63.15658249214422
2026-10-01,62.710198473061936,55.88717048110976,64.75604658452323,62.70069507480936,62.71918216210571,-2.2736752428368505,-2.2736752428368505,-2.2736752428368505,-2.2736752428368505,-2.2736752428368505,-2.2736752428368505,0.0,0.0,0.0,60.436523230225085
2026-11-01,62.56364494309978,55.22114908818996,64.25816207015056,62.55340791495115,62.57347347305358,-2.801768238432534,-2.801768238432534,-2.801768238432534,-2.801768238432534,-2.801768238432534,-2.801768238432534,0.0,0.0,0.0,59.761876704667245
2026-12-01,62.421818946362215,53.54963330652077,62.4104505024476,62.410671148553874,62.432334545357214,-4.3560954660477735,-4.3560954660477735,-4.3560954660477735,-4.3560954660477735,-4.3560954660477735,-4.3560954660477735,0.0,0.0,0.0,58.06572348031444
2027-01-01,62.27526541640006,53.917746715431946,62.54882424162372,62.26318093578077,62.28659241369713,-4.171848415834069,-4.171848415834069,-4.171848415834069,-4.171848415834069,-4.171848415834069,-4.171848415834069,0.0,0.0,0.0,58.10341700056599
2027-02-01,62.128711886437905,55.685357351818574,64.68577225250019,62.11569438096667,62.14096918301201,-1.8551633091647006,-1.8551633091647006,-1.8551633091647006,-1.8551633091647006,-1.8551633091647006,-1.8551633091647006,0.0,0.0,0.0,60.2735485772732
2027-03-01,61.99634095614951,56.5513163493177,65.32433302729774,61.98256089121707,62.009413838973664,-1.063201474651473,-1.063201474651473,-1.063201474651473,-1.063201474651473,-1.063201474651473,-1.063201474651473,0.0,0.0,0.0,60.93313948149804
2027-04-01,61.849787426187355,57.73912909186343,66.82756298745605,61.83515856879418,61.86362842251733,0.4513812731774882,0.4513812731774882,0.4513812731774882,0.4513812731774882,0.4513812731774882,0.4513812731774882,0.0,0.0,0.0,62.301168699364844
2027-05-01,61.70796142944978,57.694276318496314,66.28320333950253,61.69237279294438,61.72262690835786,0.12076464112764662,0.12076464112764662,0.12076464112764662,0.12076464112764662,0.12076464112764662,0.12076464112764662,0.0,0.0,0.0,61.82872607057743
2027-06-01,61.561407899487634,59.731459167384216,68.33732566636715,61.54492516524331,61.57704566891645,2.3959220469610143,2.3959220469610143,2.3959220469610143,2.3959220469610143,2.3959220469610143,2.3959220469610143,0.0,0.0,0.0,63.957329946448645
2027-07-01,61.41958190275006,56.580319734814076,65.9096518386241,61.402296643134996,61.43655241968882,-0.36962731002555227,-0.36962731002555227,-0.36962731002555227,-0.36962731002555227,-0.36962731002555227,-0.36962731002555227,0.0,0.0,0.0,61.04995459272451
2027-08-01,61.273028372787905,57.749750756799486,66.99181156246655,61.25493684736446,61.29098372399083,1.0113677075879135,1.0113677075879135,1.0113677075879135,1.0113677075879135,1.0113677075879135,1.0113677075879135,0.0,0.0,0.0,62.28439608037582
2027-09-01,61.12647484282576,58.857340859592085,67.16465518683107,61.107563262139585,61.145360607560654,1.8336421087707484,1.8336421087707484,1.8336421087707484,1.8336421087707484,1.8336421087707484,1.8336421087707484,0.0,0.0,0.0,62.960116951596504
2027-10-01,60.98464884608819,54.21561208846394,63.13171488051382,60.96495638346918,61.00466575467005,-2.236511327198577,-2.236511327198577,-2.236511327198577,-2.236511327198577,-2.236511327198577,-2.236511327198577,0.0,0.0,0.0,58.748137518889614
2027-11-01,60.838095316126044,52.86253682427,61.46307639506375,60.817546529287604,60.85912582356766,-3.4773721248112963,-3.4773721248112963,-3.4773721248112963,-3.4773721248112963,-3.4773721248112963,-3.4773721248112963,0.0,0.0,0.0,57.36072319131475
2027-12-01,60.69626931938847,50.578882725098495,59.562120009371505,60.675127666130685,60.7180936175775,-5.577837095735077,-5.577837095735077,-5.577837095735077,-5.577837095735077,-5.577837095735077,-5.577837095735077,0.0,0.0,0.0,55.11843222365339
