ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-11-01,11.248350706553746,10.826203803312739,11.67802812146323,11.248350706553746,11.248350706553746,0.023615029629728737,0.023615029629728737,0.023615029629728737,0.023615029629728737,0.023615029629728737,0.023615029629728737,0.0,0.0,0.0,11.271965736183475
2022-12-01,11.345088473321146,10.70928004232282,11.544067745383312,11.345088473321146,11.345088473321146,-0.22279384553188422,-0.22279384553188422,-0.22279384553188422,-0.22279384553188422,-0.22279384553188422,-0.22279384553188422,0.0,0.0,0.0,11.122294627789262
2023-01-01,11.445050831916314,10.963014748024825,11.817809951983174,11.445050831916314,11.445050831916314,-0.04006044014215618,-0.04006044014215618,-0.04006044014215618,-0.04006044014215618,-0.04006044014215618,-0.04006044014215618,0.0,0.0,0.0,11.404990391774158
2023-02-01,11.545013188803729,11.15106550680232,11.986593571013033,11.545013188803729,11.545013188803729,0.039686983938186024,0.039686983938186024,0.039686983938186024,0.039686983938186024,0.039686983938186024,0.039686983938186024,0.0,0.0,0.0,11.584700172741915
2023-03-01,11.635301761369515,11.109324699516698,12.006849325015981,11.635301761369515,11.635301761369515,-0.08188676304629654,-0.08188676304629654,-0.08188676304629654,-0.08188676304629654,-0.08188676304629654,-0.08188676304629654,0.0,0.0,0.0,11.553414998323218
2023-04-01,11.735124695623814,11.301841088086427,12.132272311035008,11.735124695623814,11.735124695623814,-0.018579440382072702,-0.018579440382072702,-0.018579440382072702,-0.018579440382072702,-0.018579440382072702,-0.018579440382072702,0.0,0.0,0.0,11.71654525524174
2023-05-01,11.831602509982249,11.198947326329318,12.106761586447973,11.831602509982249,11.831602509982249,-0.16967001024637512,-0.16967001024637512,-0.16967001024637512,-0.16967001024637512,-0.16967001024637512,-0.16967001024637512,0.0,0.0,0.0,11.661932499735874
2023-06-01,11.931097644856973,11.973771628868276,12.848318013314557,11.931097644856973,11.931097644856973,0.4846558239637785,0.4846558239637785,0.4846558239637785,0.4846558239637785,0.4846558239637785,0.4846558239637785,0.0,0.0,0.0,12.415753468820752
2023-07-01,12.027142501907193,10.95322005744904,11.78686554392906,12.027142501907193,12.027142501907193,-0.6641622799004643,-0.6641622799004643,-0.6641622799004643,-0.6641622799004643,-0.6641622799004643,-0.6641622799004643,0.0,0.0,0.0,11.362980222006728
2023-08-01,12.126022835733481,10.757380949268937,11.65105659437351,12.126022835733481,12.126022835733481,-0.9331378702175795,-0.9331378702175795,-0.9331378702175795,-0.9331378702175795,-0.9331378702175795,-0.9331378702175795,0.0,0.0,0.0,11.192884965515901
2023-09-01,12.144766759150004,11.369247265600448,12.221912143371481,12.144766759150004,12.144766759150004,-0.34188386605235427,-0.34188386605235427,-0.34188386605235427,-0.34188386605235427,-0.34188386605235427,-0.34188386605235427,0.0,0.0,0.0,11.80288289309765
